id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h
fuel-the-flame,flame,FLAME,1.4167e-08,0.0,69.81,1.5121e-08,1.4113e-08,-5.28584
mai-bsc,mimatic,MAI (BSC),0.210647,0.0,253.13,0.220355,0.20986,-2.86468
mumu-the-bull-2,bull,Mumu the Bull,1.176e-09,0.0,23.24,,,
family-guy,guy,Family Guy,5.9398e-08,0.0,25.7,,,
edelcoin,edlc,Edelcoin,3.0,0.0,20983.0,3.08,2.93,-0.17325
eurite,euri,Eurite,1.17,0.0,4751565.0,1.18,1.16,-0.65878
frog-wif-peen,peen,Frog Wif Peen,4.73e-06,0.0,18.47,4.93e-06,4.71e-06,-3.83851
giant-mammoth,gmmt,Giant Mammoth,0.0072382,0.0,552253.0,0.0079307,0.00723499,-8.69845
neko,neko,NEKO,1.409e-05,0.0,746.16,1.486e-05,1.409e-05,-3.83046
mythical-gem,gem,Mythical Gem,0.36755,0.0,174402.0,0.378241,0.366416,-2.82646
metanyx,metx,Metanyx,6.07e-05,0.0,2.25,,,
myrowifhat,mif,MyroWifHat,7.95e-06,0.0,2.5,8.14e-06,7.93e-06,-2.28352
facebook-tokenized-stock-defichain,dfb,Facebook Tokenized Stock Defichain,47.74,0.0,9.91,,,
few-wrapped-duo-eth,fwdeth,Few Wrapped Duo ETH,9.025e-09,0.0,4.521e-09,,,
enjoy,enjoy,Enjoy,1.27e-06,0.0,10.25,1.31e-06,1.25e-06,-3.56034
murasaki,mura,Murasaki,0.04389581,0.0,4162.94,0.04532821,0.04384921,-2.19238
marionawfal-on-x,mario,MarioNawfal on X,0.00038957,0.0,48081.0,0.0003901,0.00037004,2.51149
fool,fool,fool,0.00013454,0.0,31.37,0.00013464,0.00013064,1.26677
flex,flex,FLEX,0.00275522,0.0,415.33,0.00302701,0.00271314,-3.20911
equilibrium,eq,Equilibrium Games,0.01640674,0.0,1.4,,,
mai-optimism,mimatic,MAI (Optimism),0.35025,0.0,6665.2,0.363332,0.349994,-3.60051
eigenpie-msteth,msteth,Eigenpie mstETH,3649.43,0.0,18.87,,,
gary,gary,Gary,0.115438,0.0,738.74,0.120891,0.114704,-4.2545
moochii,moochii,Moochii,1.756e-09,0.0,1.61,1.862e-09,1.745e-09,-4.05755
memes-vs-undead,mvu,Memes vs Undead,2.673e-05,0.0,9.87,,,
flight-coin,flight,Flight Coin,1.25e-06,0.0,6135.58,1.28e-06,1.25e-06,-1.34188
mops,mops,Mops,9.1163e-08,0.0,11.31,9.2257e-08,8.9748e-08,0.30099
falcon-nine,f9,Falcon Nine,0.00054536,0.0,5.46,0.00055255,0.00054549,-1.04255
fry,fry,Fry,0.01495204,0.0,1651.85,0.01522082,0.01469379,1.14281
food-token-2,food,Food Token,1.312e-05,0.0,7.57,1.371e-05,1.306e-05,-4.05178
equalizer-base,scale,Equalizer (BASE),0.055843,0.0,7445.25,0.068739,0.03755291,48.70364
mai-linea,mimatic,MAI (Linea),0.947234,0.0,21.43,0.948092,0.947144,-0.06263
eq9-2,eq9,EQ9,0.00224507,0.0,207.35,0.00229196,0.0021838,-2.04573
find-check,dyor,DYOR Coin,1.53,0.0,226.13,1.61,1.52,-4.80483
element,elmt,Element,0.00056188,0.0,524.36,,,
equinox-ai,equinox,EQUINOX AI,0.01469894,0.0,2.01,,,
mmss,mmss,MMSS (Ordinals),0.055298,0.0,16.59,,,
evai-2,ev,Evai,0.00249287,0.0,8.55,0.00249287,0.00249287,0.0
fooday,food,Fooday,0.00535993,0.0,160.75,,,
mbtc,mbtc,mBTC,120304.0,0.0,11.69,,,
